condition,group_size,observed_acc,independence_acc,independence_sd,shortfall
100_0,1,0.801062,0.8005740000000001,0.060379702914141596,-0.00048799999999993293
100_0,3,0.858088,0.8992380000000001,0.03124729357880456,0.04115000000000013
100_0,5,0.873386,0.9451959999999999,0.01618139623147518,0.07180999999999993
100_0,7,0.8806799999999999,0.9700619999999999,0.009077343003324273,0.08938199999999996
100_0,11,0.88489,0.9899600000000001,0.003355949940031886,0.10507000000000011
100_0,12,0.884,0.9901960000000001,0.002979527479316144,0.10619600000000007
50_50,1,0.7409220000000001,0.744392,0.06953467002869862,0.003469999999999973
50_50,3,0.79315,0.840406,0.04101137846988321,0.047255999999999965
50_50,5,0.81422,0.892022,0.02945806368382011,0.07780199999999993
50_50,7,0.822094,0.9271280000000001,0.01796417590650902,0.10503400000000007
50_50,11,0.831104,0.9648199999999999,0.006529287863159356,0.13371599999999995
50_50,12,0.835,0.964926,0.005036320482256868,0.12992599999999999
80_20,1,0.759336,0.7624719999999999,0.05159578680473822,0.0031359999999999166
80_20,3,0.808782,0.854818,0.030758232654039153,0.046035999999999966
80_20,5,0.825858,0.9071959999999999,0.020667016814238097,0.08133799999999991
80_20,7,0.834616,0.9398420000000001,0.013130614456300175,0.10522600000000004
80_20,11,0.8464579999999999,0.973366,0.005379223364018272,0.12690800000000002
80_20,12,0.852,0.9732719999999999,0.0045784294250321295,0.12127199999999994
