domain,condition,group_size,mean_acc,std_acc
human,100_0,1,0.6655760000000001,0.10790094277114447
human,100_0,3,0.715176,0.07046974523856298
human,100_0,5,0.740958,0.054125403968094454
human,100_0,7,0.759498,0.04070222768691358
human,100_0,11,0.782264,0.012798825096378783
human,100_0,12,0.784,0.0
human,50_50,1,0.57774,0.07592444562119484
human,50_50,3,0.6084080000000001,0.05804698476994099
human,50_50,5,0.6275,0.04802093314420369
human,50_50,7,0.6408440000000001,0.034065827822768395
human,50_50,11,0.65799,0.01569492150736169
human,50_50,12,0.637,0.0
human,80_20,1,0.5921960000000001,0.05445957468204372
human,80_20,3,0.6271380000000001,0.04380539671733524
human,80_20,5,0.6408440000000001,0.03360998253274918
human,80_20,7,0.6484160000000001,0.025163173778942498
human,80_20,11,0.6605420000000001,0.010110424192619701
human,80_20,12,0.656,0.0
model,100_0,1,0.8087799999999999,0.055763848626392845
model,100_0,3,0.854158,0.028522905677658323
model,100_0,5,0.873208,0.01289703077477958
model,100_0,7,0.880548,0.00810648667750123
model,100_0,11,0.88491,0.0019994738786948776
model,100_0,12,0.884,0.0
model,50_50,1,0.737904,0.07290583863184916
model,50_50,3,0.796016,0.0356520108233954
model,50_50,5,0.814154,0.023114385859618544
model,50_50,7,0.823134,0.01633185546733778
model,50_50,11,0.830938,0.005864720444469946
model,50_50,12,0.835,0.0
model,80_20,1,0.762008,0.05395685888969524
model,80_20,3,0.809784,0.02854749135256983
model,80_20,5,0.82509,0.019530406384586394
model,80_20,7,0.83451,0.012858950393030583
model,80_20,11,0.846302,0.005553059421424896
model,80_20,12,0.852,0.0
