domain,participantID,condition,n_trials,accuracy,hit_rate,fa_rate,dprime,criterion
Human,SA,50_50,1000,0.576,0.7894211576846307,0.6377245508982036,0.4520312033050144,-0.5783988033476157
Human,SA,80_20,1000,0.527,0.6696606786427146,0.6157684630738522,0.14459053602560018,-0.3666811236823825
Human,SA,100_0,1000,0.64,0.7734530938123753,0.4940119760479042,0.7652774816724353,-0.36762842704667653
Human,AG,50_50,1000,0.704,0.9211576846307385,0.5139720558882236,1.377871781531949,-0.7239658039624751
Human,AG,80_20,1000,0.507,0.6696606786427146,0.655688622754491,0.038251598053385016,-0.4198505926684901
Human,AG,100_0,1000,0.775,0.8812375249500998,0.3323353293413174,1.6146695118843357,-0.3738610422367442
Human,CY,50_50,1000,0.47,0.5059880239520959,0.5658682634730539,-0.15085432891241607,-0.09043747824574927
Human,CY,80_20,1000,0.624,0.6237524950099801,0.37624750499001997,0.6307024121728415,-8.326672684688674e-17
Human,CY,100_0,1000,0.518,0.5978043912175649,0.56187624750499,0.0919401980492052,-0.20169799832788343
Human,JH,50_50,1000,0.683,0.5099800399201597,0.14471057884231536,1.0844111540933488,0.5171867169810159
Human,JH,80_20,1000,0.633,0.6497005988023952,0.3842315369261477,0.6788981271031129,-0.04506320788197396
Human,JH,100_0,1000,0.712,0.7335329341317365,0.31037924151696605,1.1183089581891392,-0.06437881291323536
Human,KM,50_50,1000,0.671,0.5998003992015968,0.25848303393213573,0.900859689476935,0.1975993498667462
Human,KM,80_20,1000,0.703,0.6397205588822356,0.2345309381237525,1.08171824490581,0.18314716304048997
Human,KM,100_0,1000,0.789,0.7015968063872255,0.124750499001996,1.6805609068576621,0.31128180464468724
Human,AW,50_50,1000,0.595,0.6297405189620758,0.44011976047904194,0.4818317703310931,-0.09025029826189127
Human,AW,80_20,1000,0.611,0.7355289421157685,0.5139720558882236,0.5945917971393478,-0.33232581176617443
Human,AW,100_0,1000,0.657,0.7435129740518962,0.4301397205588822,0.8302322895897501,-0.23909768636310796
Human,AZ,50_50,1000,0.464,0.5419161676646707,0.6137724550898204,-0.18390271636083583,-0.19721367369238677
Human,AZ,80_20,1000,0.558,0.7455089820359282,0.6297405189620758,0.32925740972030276,-0.4957948882875892
Human,AZ,100_0,1000,0.568,0.6497005988023952,0.5139720558882236,0.34948235823702994,-0.20977109231501548
Human,GS,50_50,1000,0.523,0.5159680638722555,0.47005988023952094,0.1151560335258042,0.017541322892165385
Human,GS,80_20,1000,0.557,0.6217564870259481,0.5079840319361277,0.29008288408814276,-0.16505577836309565
Human,GS,100_0,1000,0.531,0.45209580838323354,0.3902195608782435,0.1583788006543314,0.19955742885752487
Human,UR,50_50,1000,0.525,0.8812375249500998,0.8313373253493014,0.22173239838117353,-1.0703295989883252
Human,UR,80_20,1000,0.563,0.8592814371257484,0.7335329341317365,0.4535632769362552,-0.8503149304759325
Human,UR,100_0,1000,0.874,0.8692614770459082,0.12275449101796407,2.284233783399038,0.019210013293337047
Human,HG,50_50,1000,0.648,0.6996007984031936,0.4041916167664671,0.7657650046768671,-0.14037021044775175
Human,HG,80_20,1000,0.634,0.6916167664670658,0.4241516966067864,0.6917219540875496,-0.15457735668628309
Human,HG,100_0,1000,0.691,0.6916167664670658,0.31037924151696605,0.995213999911392,-0.002831333774361816
Human,KZ,50_50,1000,0.585,0.23053892215568864,0.06087824351297405,0.810369698323649,1.142258035267274
Human,KZ,80_20,1000,0.648,0.32435129740518964,0.028942115768463075,1.4410083382087262,1.1760694770862097
Human,KZ,100_0,1000,0.618,0.56187624750499,0.3263473053892216,0.6057498531059634,0.14714702724970086
Human,BC,50_50,1000,0.5,0.7075848303393214,0.7075848303393214,0.0,-0.5463427733472065
Human,BC,80_20,1000,0.543,0.7295409181636726,0.6437125748502994,0.2430249424084489,-0.48991266859211535
Human,BC,100_0,1000,0.564,0.5858283433133733,0.45808383233532934,0.32208913092618163,-0.05578224995112196
Model,claude-3-5-haiku-20241022,50_50,1000,0.594,0.49001996007984033,0.3023952095808383,0.4925051406887778,0.27127143041004714
Model,claude-3-5-haiku-20241022,80_20,1000,0.72,0.5818363273453094,0.14271457085828343,1.2747960683009676,0.4308045447818828
Model,claude-3-5-haiku-20241022,100_0,1000,0.716,0.593812375249501,0.1626746506986028,1.2208875507375763,0.3730808504049733
Model,claude-3-7-sonnet-20250219,50_50,1000,0.82,0.7435129740518962,0.10479041916167664,1.9089326868267376,0.30025251225538574
Model,claude-3-7-sonnet-20250219,80_20,1000,0.847,0.8333333333333334,0.1407185628742515,2.0445181350457613,0.054837501421179546
Model,claude-3-7-sonnet-20250219,100_0,1000,0.85,0.8353293413173652,0.13672654690618763,2.0705865305921707,0.059851787082794594
Model,claude-opus-4-20250514,50_50,1000,0.737,0.5978043912175649,0.124750499001996,1.3992303554260044,0.4519470803605161
Model,claude-opus-4-20250514,80_20,1000,0.737,0.6197604790419161,0.1467065868263473,1.3555152629621856,0.372905850579215
Model,claude-opus-4-20250514,100_0,1000,0.801,0.6856287425149701,0.08483033932135728,1.8567924557329332,0.4448987004423117
Model,claude-sonnet-4-20250514,50_50,1000,0.741,0.6756487025948104,0.19461077844311378,1.3165952417469755,0.2027323128916413
