domain,condition,fold,accuracy,hit_rate,fa_rate,dprime,criterion
Human,50_50,0,0.46,0.9871794871794872,0.8650793650793651,1.1281776672442327,-1.6675170016388086
Human,50_50,1,0.55,0.9895833333333334,0.8425925925925926,1.3058209574429567,-1.658080859535942
Human,50_50,2,0.6,0.9901960784313726,0.7941176470588235,1.5129764864747586,-1.5772803315697597
Human,50_50,3,0.63,0.9910714285714286,0.8152173913043478,1.4712789829802961,-1.6329275677777257
Human,50_50,4,0.58,0.9897959183673469,0.8018867924528302,1.4703780389015408,-1.5835689515270617
Human,50_50,5,0.59,0.9901960784313726,0.8137254901960784,1.4420597451337316,-1.612738702240273
Human,50_50,6,0.62,0.9910714285714286,0.8369565217391305,1.3865408909583623,-1.6752966137886927
Human,50_50,7,0.58,0.9901960784313726,0.8333333333333334,1.366347008705438,-1.6505950704544199
Human,50_50,8,0.64,0.9736842105263158,0.7888888888888889,1.1353596227935203,-1.3702516994560696
Human,50_50,9,0.6,0.9903846153846154,0.81,1.4631308425792202,-1.6094617163408391
Human,80_20,0,0.45,0.9871794871794872,0.8809523809523809,1.0518447176490637,-1.705683476436393
Human,80_20,1,0.55,0.9895833333333334,0.8425925925925926,1.3058209574429567,-1.658080859535942
Human,80_20,2,0.57,0.9901960784313726,0.8529411764705882,1.2846371768431681,-1.6914499863855548
Human,80_20,3,0.59,0.9910714285714286,0.9021739130434783,1.0745287076260177,-1.831302705454865
Human,80_20,4,0.55,0.9897959183673469,0.8584905660377359,1.2451955947033213,-1.6961601736261716
Human,80_20,5,0.6,0.9901960784313726,0.7941176470588235,1.5129764864747586,-1.5772803315697597
Human,80_20,6,0.6,0.9910714285714286,0.8804347826086957,1.1914040123472391,-1.7728650530942542
Human,80_20,7,0.59,0.9901960784313726,0.8137254901960784,1.4420597451337316,-1.612738702240273
Human,80_20,8,0.59,0.9912280701754386,0.9222222222222223,0.9549280149238006,-1.897643076732869
Human,80_20,9,0.63,0.9903846153846154,0.75,1.6665373874343676,-1.5077584439132654
Human,100_0,0,0.54,0.9871794871794872,0.7380952380952381,1.5941216742985478,-1.434544998111651
Human,100_0,1,0.64,0.9895833333333334,0.6759259259259259,1.8546550154852308,-1.3836638305148048
Human,100_0,2,0.69,0.9901960784313726,0.6176470588235294,2.034461664341472,-1.3165377426364029
Human,100_0,3,0.66,0.9910714285714286,0.75,1.6940773090717922,-1.5215284047319777
Human,100_0,4,0.64,0.9897959183673469,0.6886792452830188,1.8266478664493135,-1.4054340377531753
Human,100_0,5,0.75,0.9901960784313726,0.5,2.333768574807139,-1.1668842874035694
Human,100_0,6,0.68,0.9910714285714286,0.7065217391304348,1.8253153695664408,-1.4559093744846534
Human,100_0,7,0.64,0.9901960784313726,0.7156862745098039,1.7636944896246782,-1.4519213299947997
Human,100_0,8,0.69,0.9912280701754386,0.7,1.8507065714867286,-1.4497537984514048
Human,100_0,9,0.65,0.9903846153846154,0.71,1.7876424180747765,-1.447205928593061
Model,50_50,0,0.55,0.9871794871794872,0.7222222222222222,1.6421500374111466,-1.4105308165553516
Model,50_50,1,0.61,0.96875,0.7129629629629629,1.3006703025933861,-1.2123967161249585
Model,50_50,2,0.63,0.9901960784313726,0.7352941176470589,1.7048643571749489,-1.4813363962196644
Model,50_50,3,0.67,0.9910714285714286,0.7282608695652174,1.7610054370552009,-1.4880643407402734
Model,50_50,4,0.63,0.9693877551020408,0.6886792452830188,1.3797606263387263,-1.1819904176978817
Model,50_50,5,0.67,0.9901960784313726,0.6568627450980392,1.9298526014627297,-1.368842274075774
Model,50_50,6,0.71,0.9910714285714286,0.6413043478260869,2.006619614475275,-1.3652572520302364
Model,50_50,7,0.64,0.9705882352941176,0.696078431372549,1.376355298067479,-1.2013323112996905
Model,50_50,8,0.63,0.9736842105263158,0.8111111111111111,1.0559333055154574,-1.409964858095101
Model,50_50,9,0.68,0.9903846153846154,0.65,1.9557066712228814,-1.3631738020190085
Model,80_20,0,0.51,0.9871794871794872,0.7857142857142857,1.4399672275175504,-1.5116222215021498
Model,80_20,1,0.63,0.9895833333333334,0.6944444444444444,1.8025032791480637,-1.4097396986833886
Model,80_20,2,0.66,0.9705882352941176,0.6568627450980392,1.485593986989021,-1.1467129668389195
Model,80_20,3,0.66,0.9910714285714286,0.75,1.6940773090717922,-1.5215284047319777
Model,80_20,4,0.67,0.9897959183673469,0.6320754716981132,1.981402643940316,-1.3280566490076742
Model,80_20,5,0.64,0.9901960784313726,0.7156862745098039,1.7636944896246782,-1.4519213299947997
Model,80_20,6,0.72,0.9732142857142857,0.5978260869565217,1.6825616814048154,-1.0890050153551736
Model,80_20,7,0.67,0.9901960784313726,0.6568627450980392,1.9298526014627297,-1.368842274075774
Model,80_20,8,0.65,0.9912280701754386,0.7888888888888889,1.57253519613546,-1.5888394861270392
Model,80_20,9,0.69,0.9903846153846154,0.63,2.0091737911936325,-1.336440242033633
Model,100_0,0,0.48,0.9871794871794872,0.8333333333333334,1.264184269159224,-1.599513700681313
Model,100_0,1,0.58,0.9895833333333334,0.7870370370370371,1.5148087664800278,-1.5535869550174064
Model,100_0,2,0.56,0.9901960784313726,0.8725490196078431,1.1952450963470698,-1.736146026633604
Model,100_0,3,0.62,0.9910714285714286,0.8369565217391305,1.3865408909583623,-1.6752966137886927
Model,100_0,4,0.53,0.9693877551020408,0.8773584905660378,0.7099877935905057,-1.516876834071992
Model,100_0,5,0.58,0.9901960784313726,0.8333333333333334,1.366347008705438,-1.6505950704544199
Model,100_0,6,0.62,0.9732142857142857,0.8152173913043478,1.0329977797700036,-1.4137869661725795
Model,100_0,7,0.59,0.9901960784313726,0.8137254901960784,1.4420597451337316,-1.612738702240273
Model,100_0,8,0.76,0.956140350877193,0.5,1.70755309355966,-0.85377654677983
Model,100_0,9,0.63,0.9903846153846154,0.75,1.6665373874343676,-1.5077584439132654
