stim_id,condition,domain,maj_decision,avg_decision,mwe_decision,n_raters,TP
1,50_50,human,1,1,1,12,False
1,80_20,human,1,1,1,12,False
1,100_0,human,1,1,1,12,False
2,50_50,human,0,0,1,12,False
2,80_20,human,0,0,0,12,False
2,100_0,human,0,0,0,12,False
3,50_50,human,1,1,1,12,True
3,80_20,human,1,1,1,12,True
3,100_0,human,1,1,1,12,True
4,50_50,human,1,1,1,12,False
4,80_20,human,1,1,1,12,False
4,100_0,human,0,0,0,12,False
5,50_50,human,0,0,0,12,False
5,80_20,human,0,0,1,12,False
5,100_0,human,0,0,0,12,False
6,50_50,human,0,0,1,12,False
6,80_20,human,1,1,1,12,False
6,100_0,human,0,0,0,12,False
7,50_50,human,1,1,1,12,True
7,80_20,human,0,0,1,12,True
7,100_0,human,1,1,1,12,True
8,50_50,human,0,0,1,12,False
8,80_20,human,1,1,1,12,False
8,100_0,human,0,0,0,12,False
9,50_50,human,1,1,1,12,False
9,80_20,human,1,1,1,12,False
9,100_0,human,1,1,1,12,False
10,50_50,human,1,1,1,12,True
10,80_20,human,1,1,1,12,True
10,100_0,human,1,1,1,12,True
11,50_50,human,0,0,1,12,False
11,80_20,human,1,1,1,12,False
11,100_0,human,1,1,1,12,False
12,50_50,human,1,1,1,12,False
12,80_20,human,1,1,1,12,False
12,100_0,human,0,0,0,12,False
13,50_50,human,0,0,1,12,False
13,80_20,human,1,1,1,12,False
13,100_0,human,0,0,0,12,False
14,50_50,human,1,1,1,12,True
14,80_20,human,1,1,1,12,True
14,100_0,human,1,1,1,12,True
15,50_50,human,1,1,1,12,True
15,80_20,human,1,1,1,12,True
15,100_0,human,1,1,1,12,True
16,50_50,human,0,0,1,12,True
16,80_20,human,1,1,1,12,True
16,100_0,human,1,1,1,12,True
17,50_50,human,1,1,1,12,False
17,80_20,human,1,1,1,12,False
17,100_0,human,0,0,1,12,False
18,50_50,human,0,0,1,12,False
18,80_20,human,0,0,0,12,False
18,100_0,human,0,0,0,12,False
19,50_50,human,1,1,1,12,False
19,80_20,human,0,0,0,12,False
19,100_0,human,1,1,1,12,False
20,50_50,human,0,0,0,12,False
20,80_20,human,0,0,0,12,False
20,100_0,human,0,0,0,12,False
21,50_50,human,1,1,1,12,True
21,80_20,human,1,1,1,12,True
21,100_0,human,1,1,1,12,True
22,50_50,human,1,1,1,12,False
22,80_20,human,0,0,0,12,False
22,100_0,human,0,0,1,12,False
23,50_50,human,0,0,1,12,False
23,80_20,human,0,0,1,12,False
23,100_0,human,1,1,1,12,False
24,50_50,human,0,0,1,12,False
24,80_20,human,1,1,1,12,False
24,100_0,human,1,1,1,12,False
25,50_50,human,1,1,1,12,False
25,80_20,human,1,1,1,12,False
25,100_0,human,0,0,0,12,False
26,50_50,human,1,1,1,12,False
26,80_20,human,1,1,1,12,False
26,100_0,human,1,1,1,12,False
27,50_50,human,1,1,1,12,False
27,80_20,human,1,1,1,12,False
27,100_0,human,1,1,1,12,False
28,50_50,human,0,0,1,12,False
28,80_20,human,0,0,1,12,False
28,100_0,human,0,0,0,12,False
29,50_50,human,1,1,1,12,False
29,80_20,human,1,1,1,12,False
29,100_0,human,1,1,1,12,False
30,50_50,human,1,1,1,12,False
30,80_20,human,0,0,0,12,False
30,100_0,human,1,1,1,12,False
31,50_50,human,1,1,1,12,False
31,80_20,human,1,1,1,12,False
31,100_0,human,1,1,1,12,False
32,50_50,human,1,1,1,12,False
32,80_20,human,1,1,1,12,False
32,100_0,human,1,1,1,12,False
33,50_50,human,1,1,1,12,True
33,80_20,human,1,1,1,12,True
33,100_0,human,1,1,1,12,True
34,50_50,human,1,1,1,12,True
34,80_20,human,1,1,1,12,True
34,100_0,human,1,1,1,12,True
35,50_50,human,1,1,1,12,False
35,80_20,human,1,1,1,12,False
35,100_0,human,0,0,0,12,False
36,50_50,human,0,0,1,12,False
36,80_20,human,0,0,0,12,False
36,100_0,human,0,0,0,12,False
37,50_50,human,1,1,1,12,False
37,80_20,human,1,1,1,12,False
37,100_0,human,1,1,1,12,False
38,50_50,human,1,1,1,12,False
38,80_20,human,1,1,1,12,False
38,100_0,human,1,1,1,12,False
39,50_50,human,1,1,1,12,False
39,80_20,human,1,1,1,12,False
39,100_0,human,1,1,1,12,False
40,50_50,human,1,1,1,12,True
40,80_20,human,1,1,1,12,True
40,100_0,human,1,1,1,12,True
41,50_50,human,1,1,1,12,False
41,80_20,human,1,1,1,12,False
41,100_0,human,1,1,1,12,False
42,50_50,human,1,1,1,12,True
42,80_20,human,1,1,1,12,True
42,100_0,human,1,1,1,12,True
43,50_50,human,0,0,1,12,False
43,80_20,human,1,1,1,12,False
43,100_0,human,0,0,0,12,False
44,50_50,human,1,1,1,12,False
44,80_20,human,1,1,1,12,False
44,100_0,human,1,1,1,12,False
45,50_50,human,0,0,1,12,True
45,80_20,human,0,0,0,12,True
45,100_0,human,0,0,1,12,True
46,50_50,human,0,0,0,12,False
46,80_20,human,1,1,1,12,False
46,100_0,human,1,1,1,12,False
47,50_50,human,1,1,1,12,True
47,80_20,human,1,1,1,12,True
47,100_0,human,1,1,1,12,True
48,50_50,human,1,1,1,12,False
48,80_20,human,0,0,0,12,False
48,100_0,human,0,0,0,12,False
49,50_50,human,0,0,0,12,False
49,80_20,human,0,0,0,12,False
49,100_0,human,0,0,0,12,False
50,50_50,human,0,0,1,12,False
50,80_20,human,0,0,1,12,False
50,100_0,human,0,0,1,12,False
51,50_50,human,1,1,1,12,False
51,80_20,human,1,1,1,12,False
51,100_0,human,0,0,1,12,False
52,50_50,human,0,0,1,12,True
52,80_20,human,1,1,1,12,True
52,100_0,human,1,1,1,12,True
53,50_50,human,1,1,1,12,False
53,80_20,human,1,1,1,12,False
53,100_0,human,1,1,1,12,False
54,50_50,human,1,1,1,12,True
54,80_20,human,1,1,1,12,True
54,100_0,human,0,0,1,12,True
55,50_50,human,0,0,0,12,True
